start,startPosition,frequency
74,"[47.07555389, 53.91043854, 149.5325928]",4
83,"[46.60237122, 60.04891205, 160.5887146]",44
108,"[32.76828384, 91.1727829, 119.5847473]",1
84,"[45.83430099, 71.89839172, 163.7348938]",5
76,"[38.3068924, 73.96008301, 156.2806091]",5
59,"[61.01449585, 164.7238617, 161.7114258]",14
92,"[51.61279297, 68.16239166, 169.7157898]",17
40,"[54.50421906, 66.29293823, 72.03175354]",2
91,"[53.56635666, 57.96323395, 167.4579163]",5
93,"[53.16075134, 77.81087494, 171.5006256]",5
77,"[40.96482849, 84.51644135, 159.3578491]",7
18,"[53.5224762, 150.5645752, 113.4942017]",3
16,"[64.83947754, 153.8170471, 109.4194031]",4
81,"[58.59506226, 43.15229034, 152.1497955]",21
82,"[51.80251312, 50.55010223, 156.5683746]",3
79,"[46.01379776, 104.5724182, 166.0837097]",9
71,"[42.56768036, 109.0180054, 158.2352905]",7
57,"[59.63084793, 175.063736, 149.9863586]",3
58,"[59.44711685, 171.0057678, 156.4195709]",7
63,"[51.2840004, 165.7919006, 152.2144318]",5
14,"[48.48796844, 151.4735107, 121.1464615]",1
72,"[44.20722198, 119.0409088, 160.3303223]",12
70,"[38.61865616, 99.38539124, 155.8343048]",8
80,"[47.95235062, 114.578186, 168.8221741]",3
78,"[43.03504944, 94.88861084, 162.0728912]",7
88,"[54.26541901, 110.3771667, 173.8651886]",2
64,"[53.52826309, 158.8329773, 158.2172852]",4
87,"[49.53035736, 99.92474365, 171.1462555]",3
85,"[46.25086975, 81.35145569, 166.1690979]",4
89,"[63.97809601, 42.09529877, 158.5378723]",4
75,"[41.41545105, 63.59588242, 153.7163696]",13
60,"[58.11058807, 179.6183167, 132.4685059]",2
90,"[57.71652222, 49.43274689, 163.1681366]",7
100,"[35.30825043, 95.48200989, 113.3798218]",1
13,"[51.21172333, 155.2554626, 116.4246902]",1
55,"[66.18732452, 184.2788849, 136.6307373]",2
48,"[77.87369537, 31.06650925, 91.66160583]",1
62,"[52.44224548, 170.8167877, 146.372757]",2
69,"[37.74136353, 88.42960358, 152.3104248]",1
118,"[32.5107193, 107.2374268, 133.7828674]",2
39,"[59.72214127, 62.80955505, 65.33495331]",1
110,"[33.60301971, 113.0844498, 127.6641922]",4
45,"[120.5362473, 44.73541641, 83.17926025]",2
31,"[42.35289764, 114.7987442, 84.63811493]",1
